"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000008838","brown","ENSG00000008838","MED24","9862",731.615968044688,314.992617332623,416.623350712065,-101.630733379441
"ENSG00000008853","brown","ENSG00000008853","RHOBTB2","23221",607.098392326247,204.073459640034,403.024932686213,-198.951473046179
"ENSG00000008869","turquoise","ENSG00000008869","HEATR5B","54497",770.186592673158,341.090177233256,429.096415439901,-88.0062382066453
"ENSG00000008952","turquoise","ENSG00000008952","SEC62","7095",1112.78957438856,624.220909855687,488.568664532874,135.652245322813
"ENSG00000008988","lightcyan","ENSG00000008988","RPS20","6224",643.992518611445,28.7730636526943,615.219454958751,-586.446391306057
"ENSG00000009307","turquoise","ENSG00000009307","CSDE1","7812",704.177675787931,315.953353480986,388.224322306945,-72.2709688259599
"ENSG00000009335","turquoise","ENSG00000009335","UBE3C","9690",712.099904982371,295.973391308835,416.126513673536,-120.153122364701
"ENSG00000009413","turquoise","ENSG00000009413","REV3L","5980",851.421767576586,365.140910226937,486.280857349649,-121.139947122712
"ENSG00000009694","magenta","ENSG00000009694","TENM1","10178",794.309624484234,34.5213905011792,759.788233983055,-725.266843481876
"ENSG00000009709","grey","ENSG00000009709","PAX7","5081",539.214270660499,NA,NA,NA
"ENSG00000009724","blue","ENSG00000009724","MASP2","10747",998.259881343576,364.582382680093,633.677498663483,-269.09511598339
"ENSG00000009780","turquoise","ENSG00000009780","FAM76A","199870",698.128207016442,275.037548812042,423.090658204399,-148.053109392357
"ENSG00000009790","yellow","ENSG00000009790","TRAF3IP3","80342",1172.24944034087,726.29488355426,445.954556786606,280.340326767653
"ENSG00000009830","brown","ENSG00000009830","POMT2","29954",595.14220547926,177.133704991199,418.008500488061,-240.874795496862
"ENSG00000009844","turquoise","ENSG00000009844","VTA1","51534",807.091369665696,387.926954714613,419.164414951083,-31.2374602364692
"ENSG00000009950","grey","ENSG00000009950","MLXIPL","51085",642.342634396837,NA,NA,NA
"ENSG00000009954","turquoise","ENSG00000009954","BAZ1B","9031",659.095115121617,242.081501385653,417.013613735964,-174.93211235031
